iter	Passed	Remaining
0	128	128738
1	130	65048
2	131	43750
3	132	33099
4	134	26719
5	135	22486
6	137	19435
7	138	17165
8	139	15392
9	141	13970
10	142	12806
11	143	11834
12	145	11013
13	146	10307
14	147	9696
15	148	9159
16	150	8688
17	151	8272
18	152	7889
19	154	7552
20	155	7241
21	156	6963
22	157	6710
23	159	6474
24	160	6257
25	161	6055
26	162	5867
27	164	5695
28	165	5538
29	166	5388
30	167	5251
31	169	5122
32	170	4998
33	171	4881
34	173	4773
35	174	4671
36	175	4577
37	177	4487
38	178	4399
39	179	4313
40	180	4233
41	182	4159
42	183	4088
43	184	4016
44	186	3950
45	187	3885
46	188	3824
47	189	3766
48	191	3710
49	192	3658
50	193	3608
51	195	3560
52	196	3513
53	197	3467
54	199	3421
55	200	3378
56	201	3337
57	203	3299
58	204	3261
59	205	3222
60	206	3185
61	208	3150
62	209	3118
63	211	3086
64	212	3054
65	213	3022
66	214	2993
67	216	2964
68	217	2934
69	218	2906
70	220	2879
71	221	2853
72	222	2826
73	223	2800
74	224	2774
75	226	2751
76	227	2727
77	228	2703
78	229	2679
79	231	2658
80	232	2637
81	233	2615
82	234	2592
83	235	2571
84	236	2550
85	238	2529
86	239	2509
87	240	2489
88	241	2470
89	242	2452
90	243	2434
91	245	2418
92	246	2400
93	247	2385
94	248	2368
95	249	2353
96	251	2337
97	252	2322
98	253	2306
99	254	2291
100	255	2275
101	257	2262
102	258	2248
103	259	2235
104	260	2222
105	262	2211
106	263	2197
107	264	2185
108	265	2172
109	266	2160
110	268	2147
111	269	2136
112	270	2125
113	271	2113
114	281	2170
115	283	2161
116	284	2150
117	286	2139
118	287	2128
119	289	2122
120	290	2111
121	291	2100
122	293	2090
123	294	2082
124	296	2073
125	297	2062
126	298	2052
127	299	2041
128	301	2038
129	303	2030
130	304	2020
131	305	2010
132	307	2003
133	308	1994
134	309	1985
135	311	1976
136	312	1967
137	313	1960
138	315	1951
139	316	1942
140	317	1934
141	318	1926
142	320	1919
143	321	1912
144	322	1904
145	324	1896
146	325	1889
147	326	1881
148	327	1873
149	329	1864
150	330	1856
151	331	1847
152	332	1842
153	334	1835
154	335	1827
155	336	1820
156	338	1815
157	339	1809
158	340	1802
159	342	1795
160	343	1788
161	344	1784
162	346	1778
163	347	1771
164	348	1765
165	350	1758
166	351	1753
167	352	1747
168	353	1740
169	355	1734
170	356	1729
171	358	1723
172	359	1717
173	360	1711
174	361	1705
175	363	1700
176	364	1694
177	365	1688
178	366	1683
179	368	1677
180	369	1672
181	370	1667
182	372	1661
183	373	1655
184	374	1649
185	377	1650
186	379	1652
187	382	1653
188	384	1648
189	385	1642
190	386	1637
191	388	1635
192	390	1631
193	391	1625
194	392	1620
195	394	1616
196	395	1610
197	396	1605
198	397	1599
199	398	1594
200	399	1589
201	400	1584
202	402	1578
203	403	1573
204	404	1568
205	405	1562
206	406	1557
207	407	1552
208	408	1547
209	409	1542
210	410	1536
211	412	1531
212	413	1526
213	414	1522
214	415	1517
215	416	1512
216	417	1507
217	418	1502
218	420	1498
219	421	1493
220	422	1488
221	423	1484
222	424	1479
223	425	1475
224	426	1470
225	428	1465
226	429	1461
227	430	1457
228	431	1452
229	432	1448
230	433	1443
231	434	1439
232	435	1434
233	437	1430
234	438	1426
235	439	1421
236	440	1417
237	441	1413
238	442	1409
239	443	1405
240	444	1401
241	445	1396
242	447	1392
243	448	1388
244	449	1384
245	450	1380
246	451	1376
247	452	1372
248	453	1368
249	454	1364
250	456	1360
251	457	1357
252	458	1353
253	459	1349
254	460	1345
255	462	1342
256	463	1339
257	464	1335
258	465	1331
259	466	1327
260	467	1324
261	468	1320
262	470	1317
263	471	1313
264	472	1310
265	473	1306
266	474	1303
267	475	1299
268	476	1296
269	478	1292
270	479	1288
271	480	1285
272	481	1281
273	482	1278
274	483	1274
275	484	1271
276	485	1267
277	486	1264
278	488	1261
279	489	1257
280	490	1254
281	491	1251
282	492	1247
283	493	1244
284	503	1263
285	504	1260
286	506	1257
287	507	1254
288	508	1251
289	510	1248
290	511	1245
291	512	1243
292	513	1240
293	515	1236
294	516	1233
295	517	1230
296	518	1227
297	520	1225
298	521	1222
299	522	1219
300	523	1216
301	525	1213
302	526	1210
303	527	1207
304	528	1204
305	529	1201
306	531	1198
307	532	1195
308	533	1192
309	534	1189
310	535	1186
311	540	1190
312	541	1188
313	542	1185
314	543	1182
315	545	1179
316	546	1177
317	547	1174
318	548	1170
319	549	1168
320	551	1165
321	552	1162
322	553	1159
323	554	1156
324	555	1153
325	556	1150
326	557	1147
327	558	1144
328	559	1141
329	560	1138
330	562	1136
331	563	1133
332	564	1130
333	565	1127
334	566	1125
335	568	1122
336	569	1120
337	570	1117
338	571	1114
339	572	1111
340	573	1108
341	574	1106
342	576	1103
343	577	1100
344	578	1097
345	579	1095
346	580	1092
347	582	1090
348	583	1087
349	584	1084
350	585	1082
351	586	1079
352	587	1077
353	588	1074
354	589	1071
355	591	1069
356	592	1066
357	593	1064
358	594	1061
359	595	1059
360	596	1056
361	598	1054
362	599	1051
363	600	1049
364	601	1047
365	603	1045
366	604	1042
367	605	1040
368	606	1037
369	608	1035
370	609	1032
371	610	1030
372	611	1027
373	612	1025
374	613	1022
375	614	1020
376	615	1017
377	617	1015
378	618	1012
379	619	1010
380	620	1007
381	621	1005
382	622	1002
383	623	1000
384	624	998
385	626	995
386	627	993
387	628	991
388	629	988
389	630	986
390	632	984
391	636	987
392	638	985
393	639	983
394	640	980
395	641	978
396	642	976
397	643	973
398	644	971
399	646	969
400	647	966
401	648	964
402	649	962
403	650	960
404	652	957
405	653	955
406	654	953
407	655	951
408	656	949
409	658	946
410	659	944
411	660	942
412	661	940
413	662	937
414	663	935
415	664	933
416	665	931
417	667	928
418	668	926
419	669	924
420	670	922
421	671	920
422	672	917
423	674	915
424	675	913
425	676	911
426	677	909
427	678	907
428	679	904
429	681	902
430	682	900
431	683	898
432	684	896
433	685	894
434	686	892
435	687	889
436	689	887
437	690	885
438	691	883
439	692	881
440	694	879
441	695	877
442	696	875
443	697	873
444	698	871
445	700	869
446	701	867
447	702	865
448	703	863
449	704	861
450	705	859
451	707	857
452	708	855
453	709	853
454	710	851
455	711	849
456	712	847
457	714	845
458	715	842
459	716	840
460	717	839
461	718	836
462	719	834
463	720	832
464	722	830
465	723	828
466	724	826
467	725	824
468	726	822
469	727	820
470	728	818
471	729	816
472	730	814
473	732	812
474	733	810
475	734	808
476	736	806
477	737	805
478	738	803
479	739	801
480	740	799
481	741	797
482	743	795
483	744	793
484	745	791
485	746	789
486	747	787
487	748	785
488	749	783
489	751	781
490	752	779
491	753	777
492	754	776
493	755	774
494	756	772
495	757	770
496	759	768
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	756
503	767	754
504	768	752
505	769	751
506	770	749
507	771	747
508	772	745
509	773	743
510	775	741
511	776	739
512	777	738
513	778	736
514	779	734
515	780	732
516	781	730
517	783	728
518	784	726
519	785	725
520	786	723
521	787	721
522	789	719
523	790	717
524	791	716
525	792	714
526	794	712
527	795	710
528	796	708
529	797	706
530	798	705
531	799	703
532	800	701
533	801	699
534	803	697
535	804	696
536	805	694
537	806	692
538	807	690
539	808	688
540	809	687
541	811	685
542	812	683
543	813	681
544	814	680
545	816	678
546	817	676
547	818	675
548	819	673
549	820	671
550	822	670
551	823	668
552	824	666
553	826	665
554	827	663
555	828	661
556	829	660
557	831	658
558	832	656
559	833	655
560	835	653
561	836	651
562	837	649
563	838	648
564	839	646
565	840	644
566	842	643
567	843	641
568	844	639
569	845	638
570	847	636
571	848	634
572	849	632
573	850	631
574	851	629
575	853	627
576	854	626
577	855	624
578	856	622
579	857	621
580	858	619
581	860	617
582	861	616
583	862	614
584	863	612
585	865	611
586	866	609
587	867	608
588	869	606
589	870	604
590	871	602
591	872	601
592	873	599
593	874	597
594	876	596
595	877	594
596	878	593
597	879	591
598	880	589
599	881	587
600	882	586
601	884	584
602	885	582
603	886	581
604	887	579
605	888	577
606	889	576
607	891	574
608	892	572
609	893	571
610	894	569
611	895	567
612	896	566
613	898	564
614	899	562
615	900	561
616	901	559
617	902	558
618	904	556
619	905	554
620	906	553
621	907	551
622	908	549
623	909	548
624	910	546
625	912	544
626	913	543
627	917	543
628	919	542
629	920	540
630	921	538
631	923	537
632	924	535
633	925	534
634	926	532
635	928	531
636	929	529
637	930	528
638	931	526
639	932	524
640	934	523
641	935	521
642	936	520
643	938	518
644	939	517
645	940	515
646	941	513
647	943	512
648	944	510
649	945	509
650	946	507
651	948	506
652	949	504
653	950	502
654	951	501
655	952	499
656	953	497
657	954	496
658	955	494
659	957	493
660	958	491
661	959	489
662	960	488
663	961	486
664	962	485
665	964	483
666	965	481
667	966	480
668	967	478
669	968	477
670	969	475
671	970	473
672	972	472
673	973	470
674	974	469
675	975	467
676	976	466
677	977	464
678	979	462
679	980	461
680	981	459
681	982	458
682	983	456
683	984	455
684	986	453
685	987	451
686	988	450
687	989	448
688	990	447
689	992	445
690	993	444
691	994	442
692	995	440
693	996	439
694	997	437
695	998	436
696	999	434
697	1001	433
698	1002	431
699	1003	430
700	1004	428
701	1005	426
702	1007	425
703	1008	423
704	1009	422
705	1010	420
706	1011	419
707	1012	417
708	1013	416
709	1015	414
710	1016	413
711	1017	411
712	1018	409
